iter	Passed	Remaining
868	1817	273
869	1818	271
870	1819	269
871	1820	267
872	1821	264
873	1821	262
874	1822	260
875	1824	258
876	1825	256
877	1826	253
878	1826	251
879	1827	249
880	1828	247
881	1829	244
882	1830	242
883	1831	240
884	1832	238
885	1832	235
886	1833	233
887	1834	231
888	1835	229
889	1836	226
890	1837	224
891	1838	222
892	1840	220
893	1841	218
894	1842	216
895	1843	213
896	1844	211
897	1845	209
898	1845	207
899	1846	205
900	1847	203
901	1848	200
902	1849	198
903	1850	196
904	1850	194
905	1851	192
906	1853	190
907	1855	187
908	1855	185
909	1856	183
910	1857	181
911	1858	179
912	1859	177
913	1860	175
914	1860	172
915	1861	170
916	1862	168
917	1863	166
918	1864	164
919	1865	162
920	1866	160
921	1866	157
922	1868	155
923	1869	153
924	1870	151
925	1871	149
926	1872	147
927	1873	145
928	1873	143
929	1874	141
930	1875	139
931	1876	136
932	1877	134
933	1878	132
934	1879	130
935	1879	128
936	1880	126
937	1882	124
938	1884	122
939	1885	120
940	1886	118
941	1887	116
942	1888	114
943	1889	112
944	1889	109
945	1890	107
946	1891	105
947	1892	103
948	1893	101
949	1894	99
950	1894	97
951	1895	95
952	1897	93
953	1899	91
954	1900	89
955	1901	87
956	1901	85
957	1902	83
958	1903	81
959	1904	79
960	1905	77
961	1905	75
962	1906	73
963	1907	71
964	1908	69
965	1909	67
966	1910	65
967	1911	63
968	1914	61
969	1915	59
970	1916	57
971	1917	55
972	1917	53
973	1918	51
974	1919	49
975	1920	47
976	1921	45
977	1922	43
978	1923	41
979	1924	39
980	1925	37
981	1926	35
982	1928	33
983	1929	31
984	1930	29
985	1931	27
986	1931	25
987	1932	23
988	1933	21
989	1934	19
990	1935	17
991	1936	15
992	1937	13
993	1938	11
994	1939	9
995	1940	7
996	1941	5
997	1943	3
998	1943	1
999	1944	0
